id,game_id,summary,party_type,status,hold_status,description,created_at,updated_at
79593b34-f48c-578f-9edb-dad962f3f48e,2892f75b-aec5-53d7-bf7d-b3d529046539,衍射,弱点,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
7bfc54dd-bc46-54df-b9ca-fa585def853d,6d9435a8-984c-53fe-a467-257b1e9e8811,白厄,主C,,あり,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
7e2fb2d0-20c6-552d-acfb-9b64e472ea4e,6d9435a8-984c-53fe-a467-257b1e9e8811,击破,类型,,なし,也可以换成乱破/波提欧主C，但我严重缺失角色,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
937057bc-0fcc-58d0-99d6-490e4998ec69,e9fb62db-2d35-536a-b671-f204968b0b2b,娜娜莉,主C,研究中,あり,两种手法；异环1.1光队,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
94a4fbb6-9523-5ced-99ed-a13871ab3664,e9fb62db-2d35-536a-b671-f204968b0b2b,小吱,主C,準備中,なし,异环前期2队,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
a0599042-c456-5b31-a8ea-0d83103f7bcc,2892f75b-aec5-53d7-bf7d-b3d529046539,湮灭2,弱点,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
a66a84e0-3779-5593-8cb1-edf555adbc4a,d81251ab-312f-58ca-a1d6-7a6c9d35f98e,AUV,主C,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
a675b69b-d353-5b93-adad-e2afd90ecba0,6d9435a8-984c-53fe-a467-257b1e9e8811,崩3,组合,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
a81d90da-62f7-5b1a-bc75-4df5b506b175,2892f75b-aec5-53d7-bf7d-b3d529046539,鸣4,组合,,,暂用这个贴补，抽莫宁复刻,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
a85c6181-660a-5a4a-bc91-9045b0d7bcb3,2892f75b-aec5-53d7-bf7d-b3d529046539,热熔2,弱点,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
ac082a9c-6fc3-5905-8dcc-78a6fd851ffc,d81251ab-312f-58ca-a1d6-7a6c9d35f98e,普罗米娅1,主C,研究中,あり,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
b1be7da5-f3f8-5936-9db0-84ef0765b13b,6d9435a8-984c-53fe-a467-257b1e9e8811,虚数,弱点,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
b285934c-9be5-529e-bd50-ba8b1b0ddcab,f9c23768-c1ad-5afd-bb58-2dd25bebc81b,别礼,主C,研究中,あり,终末地 基础寒冷队；需要确认充能的养成,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
b3f9d04e-3ce8-531d-b0db-c212fde913a3,2892f75b-aec5-53d7-bf7d-b3d529046539,聚爆,类型,研究中,あり,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
b7248499-250c-508d-ace9-8f6e622b0aa0,6d9435a8-984c-53fe-a467-257b1e9e8811,记忆队,类型,,,可以把昔涟换成记忆主,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
b79bdfd4-26fa-5d7e-9158-cd8eba773aed,6d9435a8-984c-53fe-a467-257b1e9e8811,Archer,主C,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
b9aaeeda-c9f9-5966-8f7e-30b4733a889c,f9c23768-c1ad-5afd-bb58-2dd25bebc81b,庄方宜,主C,研究中,あり,终末地 基础电磁队,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
bed6fcd7-ce58-5790-bb27-52205a29cd22,d81251ab-312f-58ca-a1d6-7a6c9d35f98e,仪玄,主C,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
cb9293f6-bd79-5b2f-8775-8eb0a329d1d8,2892f75b-aec5-53d7-bf7d-b3d529046539,声骸4,类型,研究中,あり,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
